DataCollisions
SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
1,-122.3332709,47.57665118,73,45300,45300,1069729,Matched,Block,,OCCIDENTAL AVE S BETWEEN S FOREST ST AND S HANFORD ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2005/03/18 00:00:00+00,3/18/2005 10:09:00 AM,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",Y,0,Clear,Dry,Daylight,,5077020,,32,One parked--one moving,0,0,N
1,-122.3761823,47.4994904,74,32000,32000,1215388,Matched,Block,,35TH AVE SW BETWEEN 37TH AVE SW AND MARINE VIEW DR SW,,,1,Property Damage Only Collision,Parked Car,4,0,0,4,2004/06/24 00:00:00+00,6/24/2004 7:43:00 PM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,4176028,Y,32,One parked--one moving,0,0,N
1,-122.3654658,47.56508875,75,1234,1234,2897719,Matched,Block,,26TH AVE SW BETWEEN SW NEVADA ST AND SW GENESEE ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/30 00:00:00+00,3/30/2013 10:30:00 AM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.360753,47.70366816,76,1293,1293,3501623,Matched,Intersection,37108,3RD AVE NW AND NW 103RD N ST, ,,1,Property Damage Only Collision,Other,1,0,0,1,2013/03/27 00:00:00+00,3/27/2013 2:41:00 AM,At Intersection (intersection related),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,N,Overcast,Dry,Dark - Street Lights On,,,,50,Fixed object,0,0,N
2,-122.3224587,47.59583117,77,330829,332329,EA29401,Matched,Intersection,30447,8TH AVE S AND S DEARBORN ST, ,,2,Injury Collision,Angles,2,0,0,2,2020/04/13 00:00:00+00,4/13/2020 1:00:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3258971,47.63750541,78,111400,111400,3345876,Matched,Block,,EASTLAKE AVE E BETWEEN E NEWTON ST AND E BOSTON ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2010/10/04 00:00:00+00,10/4/2010 9:15:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Unknown,Unknown,Unknown,,10277006,,32,One parked--one moving,0,0,N
2,-122.3093918,47.59308025,79,25300,25300,1795877,Matched,Block,,RAINIER AVE S BETWEEN S NORMAN ST AND I90 WB RAINIER NB OF RP,,,2,Injury Collision,Rear Ended,2,0,0,2,2004/09/30 00:00:00+00,9/30/2004 12:40:00 PM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear,Dry,Daylight,,4274006,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
2,-122.3251391,47.60933797,80,55500,55500,2128045,Matched,Intersection,29920,BOREN AVE AND MADISON ST,,,2,Injury Collision,Angles,2,0,0,2,2006/06/06 00:00:00+00,6/6/2006,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Dark - Street Lights On,,6157003,,10,Entering at angle,0,0,N
1,-122.3253344,47.61122962,1256,74700,74700,C684966,Matched,Intersection,29899,MINOR AVE AND SENECA ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2007/04/13 00:00:00+00,4/13/2007 5:30:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Wet,Daylight,,7103043,,10,Entering at angle,0,0,N
1,-122.3569626,47.63534934,1257,269100,269900,E765260,Unmatched,Block,,QUEEN ANNE AVE N BETWEEN BLAINE ST AND HOWE ST, ,,1,Property Damage Only Collision,,2,0,0,0,2018/01/30 00:00:00+00,1/30/2018,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,,,,,,,, ,,0,0,N
2,-122.3380477,47.61170568,1258,135900,135900,3560746,Matched,Block,,4TH AVE BETWEEN PINE ST AND OLIVE WAY,,,2,Injury Collision,Parked Car,3,0,0,2,2012/05/24 00:00:00+00,5/24/2012 12:41:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,12145013,,20,One car leaving parked position,0,0,N
1,-122.3062062,47.59485225,1259,96000,96000,3326233,Matched,Block,,20TH AVE S BETWEEN S NYE PL AND S CHARLES ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2009/10/28 00:00:00+00,10/28/2009 12:45:00 PM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear,Dry,Daylight,,9301023,,32,One parked--one moving,0,0,N
1,-122.2767167,47.53978659,1260,129600,129600,3545783,Matched,Block,,S FRONTENAC ST BETWEEN 44TH AVE S AND 46TH AVE S,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2011/08/27 00:00:00+00,8/27/2011 6:58:00 PM,Driveway Junction,14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,11239029,,32,One parked--one moving,0,0,N
2,-122.2780846,47.54067186,1261,126400,126400,3372957,Matched,Intersection,34433,44TH AVE S AND S WILLOW ST,,,2,Injury Collision,Parked Car,6,1,0,4,2011/05/09 00:00:00+00,5/9/2011 11:15:00 PM,At Intersection (but not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Clear,Dry,Dark - No Street Lights,,11129015,,32,One parked--one moving,0,0,N
2,-122.2728077,47.54247599,1262,199200,199340,3730673,Matched,Intersection,34420,RAINIER AVE S AND S HOLLY ST, ,,2,Injury Collision,Left Turn,4,0,0,2,2015/08/03 00:00:00+00,8/3/2015 8:00:00 AM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,,,,28,From opposite direction - one left turn - one straight,0,0,N
2,-122.3447064,47.7057972,1263,166000,166020,3582763,Matched,Block,,AURORA AVE N BETWEEN N NORTHGATE WAY AND N 107TH S ST, ,,2,Injury Collision,Rear Ended,4,0,0,3,2014/04/07 00:00:00+00,4/7/2014 12:04:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
2,-122.3357817,47.60587262,1264,77200,77200,2805232,Matched,Intersection,29613,2ND AVE AND SPRING ST,,,2,Injury Collision,Angles,7,0,0,2,2007/11/10 00:00:00+00,11/10/2007 11:27:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Dark - Street Lights On,,7314018,,10,Entering at angle,0,0,N
1,-122.3046668,47.68304716,1265,208900,209120,E477568,Matched,Block,,NE 75TH ST BETWEEN 21ST AVE NE AND RAVENNA AVE NE, ,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2015/10/31 00:00:00+00,10/31/2015 4:53:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Raining,Wet,Dark - Street Lights On,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
2,-122.3404153,47.62204871,1266,124300,124300,3383186,Matched,Block,,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,,,2,Injury Collision,Angles,2,0,0,2,2011/02/08 00:00:00+00,2/8/2011,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Dusk,,11039006,,10,Entering at angle,0,0,N
2,-122.3257422,47.63631984,1267,73900,73900,2621531,Matched,Block,,EASTLAKE AVE E BETWEEN E HOWE ST AND E NEWTON ST,,,2,Injury Collision,Cycles,1,0,1,0,2007/01/30 00:00:00+00,1/30/2007 7:27:00 AM,Mid-Block (not related to intersection),69,PEDALCYCLIST OVERTURNED IN ROAD,,0,Clear,Ice,Daylight,,7030036,,45,Vehicle - Pedalcyclist,24776,0,N
2,-122.3231111,47.59583224,1268,299000,300180,3812073,Matched,Block,,S DEARBORN ST BETWEEN 7TH AVE S AND 8TH AVE S, ,,2,Injury Collision,Cycles,2,0,1,1,2018/07/12 00:00:00+00,7/12/2018 3:42:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,Y,,,6,Pedalcyclist Strikes Moving Vehicle,0,0,N
1,-122.3774526,47.56155427,1269,151800,151820,3593467,Matched,Block,,36TH AVE SW BETWEEN SW SNOQUALMIE ST AND SW ALASKA ST, ,,1,Property Damage Only Collision,Other,1,0,0,1,2013/08/05 00:00:00+00,8/5/2013 12:13:00 AM,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,Y,N,Clear,Dry,Dark - Street Lights On,,,,50,Fixed object,0,0,N
1,-122.269982,47.52473904,1270,109500,109500,3336012,Matched,Block,,RAINIER AVE S BETWEEN S CLOVERDALE ST AND S HENDERSON ST,,,1,Property Damage Only Collision,Rear Ended,3,0,0,3,2010/07/14 00:00:00+00,7/14/2010 3:36:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,10195029,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,,,1271,148800,148820,3606453,Matched,Alley,,, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/06/21 00:00:00+00,6/21/2013 3:04:00 PM,Driveway Junction,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1,,,1272,86200,86200,2797015,Matched,Alley,,,,,1,Property Damage Only Collision,Other,1,0,0,1,2008/01/22 00:00:00+00,1/22/2008 8:00:00 PM,,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,0,Clear,Ice,Dark - Street Lights Off,,8022031,,50,Fixed object,0,0,N
1,-122.3145298,47.57162418,1273,164000,164020,3577627,Matched,Intersection,32247,S COLUMBIAN WAY AND S SPOKANE ST,NEI,"Not Enough Information, or Insufficient Location Information",1,Property Damage Only Collision,Other,2,0,0,2,2014/02/28 00:00:00+00,2/28/2014 3:15:00 AM,At Intersection (intersection related),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Unknown,Dry,Dark - Street Lights On,,,,23,From same direction - all others,0,0,N
1,-122.3229563,47.66133335,1275,105200,105200,2501998,Matched,Intersection,27071,5TH AVE NE AND NE 45TH ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2009/12/08 00:00:00+00,12/8/2009,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Dark - Street Lights On,,9342007,,81,Same direction -- both turning left -- both moving -- sideswipe,0,0,N
1,-122.3762222,47.66121143,1276,247000,247600,3762522,Matched,Block,,BALLARD BR BETWEEN POINT B AND BALLARD BR OFF RP, ,,1,Property Damage Only Collision,Sideswipe,0,0,0,2,2017/08/29 00:00:00+00,8/29/2017 5:00:00 PM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Clear,Dry,Daylight,,,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,-122.2536181,47.51568877,1277,138400,138400,3617388,Matched,Block,,RAINIER AVE S BETWEEN S PILGRIM ST AND S NORFOLK ST,,,1,Property Damage Only Collision,Sideswipe,4,0,0,2,2012/05/11 00:00:00+00,5/11/2012 4:18:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,12132005,,26,From opposite direction - both going straight - sideswipe,0,0,N
1,-122.3261357,47.55338035,1280,203500,203640,E463985,Matched,Block,,S LUCILE ST BETWEEN 6TH AVE S AND MAYNARD AVE S, ,,1,Property Damage Only Collision,Other,0,0,0,1,2015/09/23 00:00:00+00,9/23/2015 1:13:00 AM,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,N,Clear,Dry,Dark - Street Lights On,,,,50,Fixed object,0,0,N
2,-122.394509,47.66864794,1281,151300,151320,3642031,Matched,Intersection,25225,NW 54TH ST AND NW MARKET ST, ,,2,Injury Collision,Cycles,2,0,1,1,2013/07/25 00:00:00+00,7/25/2013 3:01:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,25965,0,N
2,-122.3449968,47.72503555,1282,67300,67300,2829236,Matched,Block,,AURORA AVE N BETWEEN N 130TH ST AND N 135TH ST,,,2,Injury Collision,Rear Ended,2,0,0,2,2007/07/20 00:00:00+00,7/20/2007 5:28:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Raining,Wet,Daylight,,7201043,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.3007113,47.6653328,1283,192600,192700,E418699,Matched,Block,,25TH AVE NE BETWEEN NE 49TH ST AND NE BLAKELEY ST, ,,1,Property Damage Only Collision,Sideswipe,0,0,0,2,2015/04/18 00:00:00+00,4/18/2015 2:00:00 PM,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,-122.3554386,47.62035192,1284,85500,85500,2791456,Matched,Block,,1ST AVE N BETWEEN JOHN ST AND THOMAS ST,,,1,Property Damage Only Collision,Other,3,0,0,2,2008/02/27 00:00:00+00,2/27/2008 7:15:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Dusk,,8058009,,21,One car entering driveway access,0,0,N
2,,,1285,107100,107100,3377384,Matched,,,,NEI,"Not Enough Information, or Insufficient Location Information",2,Injury Collision,Sideswipe,3,0,0,3,2010/06/05 00:00:00+00,6/5/2010 5:20:00 PM,,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear,Dry,Daylight,,10156002,,26,From opposite direction - both going straight - sideswipe,0,0,N
2,-122.3016141,47.70437186,1287,289900,290760,E803151,Matched,Block,,LAKE CITY WAY NE BETWEEN NE 104TH WAY AND 24TH AVE NE, ,,2,Injury Collision,Left Turn,4,0,0,2,2018/05/30 00:00:00+00,5/30/2018 1:49:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,28,From opposite direction - one left turn - one straight,0,0,N
1,-122.3888586,47.67454985,1288,104200,104200,3327776,Matched,Block,,NW 63RD ST BETWEEN 24TH AVE NW AND 26TH AVE NW,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2009/08/30 00:00:00+00,8/30/2009 10:35:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,9242004,,32,One parked--one moving,0,0,N
1,-122.3263738,47.59583727,1289,245600,246200,E688284,Matched,Intersection,30542,6TH AVE S AND S DEARBORN ST, ,,1,Property Damage Only Collision,Right Turn,3,0,0,2,2017/06/29 00:00:00+00,6/29/2017 12:35:00 PM,At Intersection (but not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,,,,16,From same direction - one right turn - one straight,0,0,N
